Relatório de Todos os Anúncios CPC - Shopee Brasil
Nome de Usuário,cmentesprodutosnaturais
Nome da loja,Cmentes Produtos Naturais
ID da Loja,1160231956
Data de Criação do Relatório,10/09/2025 14:02
Período,01/08/2025 - 31/08/2025

#,Nome do Anúncio,Status,Tipos de Anúncios,ID do produto,Criativo,Método de Lance,Posicionamento,Data de Início,Data de Encerramento,Impressões,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,GMV,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
1,Mix de Sementes Chia Linhaça Psyllium Fibras Low Carb Total 750g,Em Andamento,Anúncio de Produto Automático,22998478316,-,GMV Max - Meta de ROAS,Todos,29/05/2025 00:00:00,Ilimitado,520863,14446,2.77%,629,602,4.35%,4.17%,4.97,5.19,648,620,24877.71,23808.59,3124.43,7.96,7.62,12.56%,13.12%,-,-,-
2,Maca Peruana Suplemento Natural em Pó Premium 100% Puro 250g / 500g / 1 kg [5],Em Andamento,Anúncio de Produto Automático,22198063144,-,GMV Max - Meta de ROAS,Todos,28/04/2025 00:00:00,Ilimitado,467992,10282,2.20%,447,438,4.35%,4.26%,7.80,7.96,452,442,17622.03,17191.46,3487.09,5.05,4.93,19.79%,20.28%,-,-,-
3,Semente de Chia Preta Premium Tipo 1 250g / 500g / 1kg [3],Em Andamento,Anúncio de Produto Automático,18599459532,-,GMV Max - Meta de ROAS,Todos,14/11/2024 00:00:00,Ilimitado,264059,10415,3.94%,393,383,3.77%,3.68%,4.41,4.52,402,392,12157.74,11738.67,1732.37,7.02,6.78,14.25%,14.76%,-,-,-
4,Sal Rosa do Himalaia Fino 100% Natural 1 kg / 2kg / 3kg [6],Em Andamento,Anúncio de Produto Automático,23297995073,-,GMV Max - Meta de ROAS,Todos,02/05/2025 00:00:00,Ilimitado,101491,2104,2.07%,112,109,5.32%,5.18%,6.15,6.32,115,112,3404.87,3315.33,689.11,4.94,4.81,20.24%,20.79%,-,-,-
5,Kit Chá Termogênico e Diurético Hibisco + Cavalinha + Chá Verde Pacote 150g Cada [2],Em Andamento,Anúncio de Produto Automático,23498235918,-,GMV Max - Meta de ROAS,Todos,07/03/2025 00:00:00,Ilimitado,57914,1604,2.77%,45,43,2.81%,2.68%,6.92,7.24,46,44,2085.05,2019.26,311.43,6.70,6.48,14.94%,15.42%,-,-,-
6,"Bicarbonato de Sódio Puro Extra Fino Premium | 100% Natural | 500g, 1kg, e 2kg Original promoção",Em Andamento,Anúncio de Produto Automático,22697441040,-,GMV Max - Meta de ROAS,Todos,07/08/2025 00:00:00,Ilimitado,46988,1061,2.26%,39,38,3.68%,3.58%,9.95,10.21,42,40,1580.73,1525.20,388.09,4.07,3.93,24.55%,25.45%,-,-,-
7,Psyllium Husk Puro 500g  em flocos 100% natural Ajuda na Saúde Intestinal e Saciedade,Em Andamento,Anúncio de Produto Automático,23398648969,-,GMV Max - Meta de ROAS,Todos,19/06/2025 00:00:00,Ilimitado,36525,494,1.35%,18,17,3.64%,3.44%,17.50,18.52,20,19,1001.57,946.67,314.92,3.18,3.01,31.44%,33.27%,-,-,-
8,"Xilitol cristal adoçante low carb 250G, 500G OU 1KG [4]",Em Andamento,Anúncio de Produto Automático,19799186007,-,GMV Max - Meta de ROAS,Todos,09/07/2025 00:00:00,Ilimitado,16093,535,3.32%,6,5,1.12%,0.93%,16.54,19.85,6,5,450.53,414.55,99.23,4.54,4.18,22.03%,23.94%,-,-,-
9,kit Chá Termogenico Hibisco e Cavalinha Premium [15],Em Andamento,Anúncio de Produto Automático,20799560973,-,GMV Max - Meta de ROAS,Todos,26/05/2025 00:00:00,Ilimitado,12042,211,1.75%,5,5,2.37%,2.37%,12.73,12.73,5,5,296.00,296.00,63.64,4.65,4.65,21.50%,21.50%,-,-,-
10,Kit de Sementes Premium Chia Linhaça e Psylliium Fibras Low Carb Total 750g,Pausado,Anúncio de Produto Automático,20599844203,-,GMV Max - Meta de ROAS,Todos,04/08/2025 00:00:00,Ilimitado,4332,60,1.39%,1,1,1.67%,1.67%,13.63,13.63,1,1,42.90,42.90,13.63,3.15,3.15,31.77%,31.77%,-,-,-
11,Anúncio de Loja  - EF07/25,Em Andamento,Anúncio da Loja,-,Personalizado,Lance Manual,-,02/07/2025 00:00:00,Ilimitado,15568,342,2.20%,10,8,2.92%,2.34%,8.73,10.91,10,8,341.92,262.25,87.28,3.92,3.00,25.53%,33.28%,85373,264,0.31%
