Relatório de Todos os Anúncios CPC - Shopee Brasil
Nome de Usuário,lionbe.feltros
Nome da loja,LionBe Feltros
ID da Loja,493795863
Data de Criação do Relatório,05/09/2025 11:14
Período,01/07/2025 - 31/07/2025

#,Nome do Anúncio,Status,Tipos de Anúncios,ID do produto,Criativo,Método de Lance,Posicionamento,Data de Início,Data de Encerramento,Impressões,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,GMV,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
1,Anúncio de Loja EF07/25,Pausado,Anúncio da Loja,-,Padrão,Lance Automático,-,12/07/2025 00:00:00,Ilimitado,18714,775,4.14%,22,11,2.84%,1.42%,8.11,16.22,30,16,559.87,306.26,178.37,3.14,1.72,31.86%,58.24%,121920,559,0.46%
2,"Renda Jabot Colorida Franzida para Artesanato, Costura, Porta Kit Kat e Lembrancinhas de Luxo [5]",Em Andamento,Anúncio de Produto Automático,14227766115,-,GMV Max - Meta de ROAS,Todos,06/05/2025 00:00:00,Ilimitado,769240,15457,2.01%,655,464,4.24%,3.00%,3.15,4.44,840,603,16635.41,12037.05,2061.02,8.07,5.84,12.39%,17.12%,-,-,-
3,Ponteira Sininho ABS Dourada 1 cm Terminal Cordão Roupas Biquíni Pezinho Caixa Acrilica Artesanato [2],Em Andamento,Anúncio de Produto Automático,23734069902,-,GMV Max - Meta de ROAS,Todos,19/11/2024 00:00:00,Ilimitado,459777,9181,2.00%,398,313,4.34%,3.41%,2.18,2.77,459,341,7312.54,5143.91,865.72,8.45,5.94,11.84%,16.83%,-,-,-
4,Passamanaria 17 mm 7800 Diversas Cores Aviamento para Artesanato e Costura Sianinha Personalizados de Luxo Festa Infantil Cofrinho Porta Kit Kat Caixinha Acrílica [3],Em Andamento,Anúncio de Produto Automático,20230531772,-,GMV Max - Meta de ROAS,Todos,07/01/2025 00:00:00,Ilimitado,426454,17688,4.15%,255,156,1.44%,0.88%,5.11,8.36,328,193,9736.28,6864.27,1304.17,7.47,5.26,13.39%,19.00%,-,-,-
5,Courino Corino Korino PVC Matelassê Couro Sintético Poá Glitter Personalizado de Luxo [4],Em Andamento,Anúncio de Produto Automático,18098958527,-,GMV Max - Meta de ROAS,Todos,03/06/2025 00:00:00,Ilimitado,380101,17480,4.60%,677,478,3.87%,2.73%,2.66,3.76,882,618,17374.00,12827.36,1798.52,9.66,7.13,10.35%,14.02%,-,-,-
6,Passamanaria 10 mm 7020 Diversas Cores Passamanaria Grelot Aviamento Artesanato Costura Patchwork Cofrinho Caixinha [3],Em Andamento,Anúncio de Produto Automático,10674582557,-,GMV Max - Meta de ROAS,Todos,06/05/2025 00:00:00,Ilimitado,303495,9904,3.26%,332,217,3.35%,2.19%,3.15,4.81,410,271,7741.78,5231.20,1044.20,7.41,5.01,13.49%,19.96%,-,-,-
7,"Feltro Santa Fé Liso Recorte 50cm x 1,40m Catálogo Completo Artesanato Boneca Costura Patchwork [6]",Em Andamento,Anúncio de Produto Automático,12827099917,-,GMV Max - Meta de ROAS,Todos,20/06/2025 00:00:00,Ilimitado,260904,7194,2.76%,354,316,4.92%,4.39%,4.78,5.35,754,658,13115.23,11693.47,1690.94,7.76,6.92,12.89%,14.46%,-,-,-
8,Passamanaria 9 mm 7095 Diversas Cores Grelot Aviamento Artesanato Costura Patchwork Cofrinho [5],Em Andamento,Anúncio de Produto Automático,12027204562,-,GMV Max - Meta de ROAS,Todos,06/05/2025 00:00:00,Ilimitado,228959,6492,2.84%,286,184,4.41%,2.83%,4.19,6.52,379,248,9575.59,6948.18,1199.53,7.98,5.79,12.53%,17.26%,-,-,-
9,Feltro Santa Fé Liso Recorte 50cm x 70cm Catálogo Completo Artesanato Boneca Costura Patchwork [2],Em Andamento,Anúncio de Produto Automático,21927302684,-,GMV Max - Meta de ROAS,Todos,05/03/2025 00:00:00,Ilimitado,222146,7350,3.31%,379,331,5.16%,4.50%,3.98,4.56,818,725,11097.09,9296.61,1508.73,7.36,6.16,13.60%,16.23%,-,-,-
10,Passamanaria 15 mm 7090 Diversas Cores Aviamento para Artesanato e Costura Sianinha Personalizados de Luxo Festa Infantil Cofrinho Porta Kit Kat Caixinha Acrílica [3],Em Andamento,Anúncio de Produto Automático,19930531513,-,GMV Max - Meta de ROAS,Todos,07/11/2024 00:00:00,Ilimitado,209187,5493,2.63%,190,122,3.46%,2.22%,4.77,7.42,260,155,7740.99,5579.46,905.77,8.55,6.16,11.70%,16.23%,-,-,-
11,"Bastidor Bamboo Sem Tarracha, Escolha o Tamanho, Para Bordado Artesanato Macramê Crochê [6]",Em Andamento,Anúncio de Produto Automático,23696181980,-,GMV Max - Meta de ROAS,Todos,09/01/2025 00:00:00,Ilimitado,152451,7059,4.63%,174,159,2.46%,2.25%,3.84,4.20,240,223,5228.97,4887.97,667.97,7.83,7.32,12.77%,13.67%,-,-,-
12,Fio de Seda Cordão Cetim Acetinado Macramê Pulseira Colar Cordonê 1mm Colorido Alto Brilho,Em Andamento,Anúncio de Produto Automático,21399179159,-,GMV Max - Meta de ROAS,Todos,13/06/2025 00:00:00,Ilimitado,113243,6828,6.03%,170,160,2.49%,2.34%,3.11,3.31,294,281,3478.04,3202.21,529.16,6.57,6.05,15.21%,16.52%,-,-,-
