Relatório de Todos os Anúncios CPC - Shopee Brasil
Nome de Usuário,pokeloja
Nome da loja,Pô Ke Loja!
ID da Loja,322865003
Data de Criação do Relatório,12/09/2025 14:55
Período,01/08/2025 - 31/08/2025

#,Nome do Anúncio,Status,Tipos de Anúncios,ID do produto,Segmentação de Público,Criativo,Método de Lance,Posicionamento,Data de Início,Data de Encerramento,Impressões,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,GMV,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
1,Anúncio de Loja,Pausado,Anúncio da Loja,-,-,Padrão,Lance Automático,-,08/08/2025 00:00:00,Ilimitado,36951,3123,8.45%,42,27,1.34%,0.86%,11.65,18.12,52,37,1617.94,1115.54,489.24,3.31,2.28,30.24%,43.86%,335936,851,0.25%
2,Kit Até 100 Cartas de One Piece Originais Bandai Sem Repetir + Brilhantes [5],Em Andamento,Anúncio de Produto Automático,18299591376,-,-,GMV Max - Meta de ROAS,Todos,21/01/2025 00:00:00,Ilimitado,634441,10916,1.72%,306,256,2.80%,2.35%,5.04,6.03,423,363,11001.02,9009.84,1543.25,7.13,5.84,14.03%,17.13%,-,-,-
3,Pacote Especial de Cartas Pokémon: 20 Brilhantes e Originais da Copag [6],Em Andamento,Anúncio de Produto Automático,19200570993,-,-,GMV Max - Meta de ROAS,Todos,13/01/2025 00:00:00,Ilimitado,264115,5078,1.92%,237,166,4.67%,3.27%,4.93,7.04,264,184,8090.56,5331.17,1167.83,6.93,4.57,14.43%,21.91%,-,-,-
4,Coleção 50 Cartas Pokémon Kit de cards Pokémon Original com 5 brilhantes e 1 Carta ULTRA RARA [3],Em Andamento,Anúncio de Produto Automático,22521275404,-,-,GMV Max - Meta de ROAS,Todos,07/05/2025 00:00:00,Ilimitado,248783,3898,1.57%,170,135,4.36%,3.46%,6.67,8.40,185,145,7139.48,5785.59,1133.89,6.30,5.10,15.88%,19.60%,-,-,-
5,Coleção de Cartas Pokémon: 100 cartas Originais! Escolha entre os Pacotes 20/50/75/100 [5],Em Andamento,Anúncio de Produto Automático,15079674987,-,-,GMV Max - Meta de ROAS,Todos,15/08/2025 00:00:00,Ilimitado,195621,9405,4.81%,334,296,3.55%,3.15%,5.26,5.94,346,306,12126.55,10714.94,1757.84,6.90,6.10,14.50%,16.41%,-,-,-
6,100 Cartas Pokémon sem repetir - Cartas originais COPAG Brasil [6],Em Andamento,Anúncio de Produto Automático,15578680210,-,-,GMV Max - Meta de ROAS,Todos,21/08/2025 00:00:00,Ilimitado,86050,1530,1.78%,56,48,3.66%,3.14%,8.40,9.80,61,52,3297.22,2963.48,470.30,7.01,6.30,14.26%,15.87%,-,-,-
7,Cartas Pokémon Eevolutions - Eevee e suas evoluções,Em Andamento,Anúncio de Produto Automático,22593849601,-,-,GMV Max - Meta de ROAS,Todos,09/08/2025 00:00:00,Ilimitado,42001,1432,3.41%,18,7,1.26%,0.49%,8.69,22.34,20,7,863.89,349.30,156.39,5.52,2.23,18.10%,44.77%,-,-,-
8,Até 30 cartas de Pokémon Lendários originais para coleção em português [3],Pausado,Anúncio de Produto Automático,20809777067,-,-,GMV Max - Meta de ROAS,Todos,16/10/2024 00:00:00,Ilimitado,540628,11497,2.13%,349,273,3.04%,2.37%,4.65,5.95,388,296,11903.47,8958.61,1623.03,7.33,5.52,13.63%,18.12%,-,-,-
9,100 Cartas Pokémon sem repetir - Cartas originais COPAG Brasil [5],Pausado,Anúncio de Produto Automático,15578680210,-,-,GMV Max - Meta de ROAS,Todos,24/09/2024 00:00:00,Ilimitado,127499,1999,1.57%,71,47,3.55%,2.35%,9.60,14.50,80,54,4407.26,3077.46,681.30,6.47,4.52,15.46%,22.14%,-,-,-
10,Kit 50 Cartas Pokémon Original +2 Lendários [5],Pausado,Anúncio de Produto Automático,22897330223,-,-,GMV Max - Meta de ROAS,Todos,05/05/2025 00:00:00,Ilimitado,121804,1806,1.48%,74,48,4.10%,2.66%,5.60,8.64,80,50,2647.01,1649.50,414.50,6.39,3.98,15.66%,25.13%,-,-,-
11,Coleção Pokémon com 50 cartas originais + 2 Pokémon Foil Brilhante [5],Pausado,Anúncio de Produto Automático,17652325811,-,-,GMV Max - Meta de ROAS,Todos,24/09/2024 00:00:00,Ilimitado,96209,1626,1.69%,52,49,3.20%,3.01%,6.45,6.84,55,52,1845.22,1739.34,335.40,5.50,5.19,18.18%,19.28%,-,-,-
12,Kit 100 Cartas Pokémon + 3 Cartas Brilhantes Original Copag [5],Pausado,Anúncio de Produto Automático,22992838632,-,-,GMV Max - Meta de ROAS,Todos,07/05/2025 00:00:00,Ilimitado,80025,1056,1.32%,43,33,4.07%,3.12%,11.77,15.34,46,34,2522.01,1993.67,506.12,4.98,3.94,20.07%,25.39%,-,-,-
